Sr no,Country,Area (ha),No of trees,Longitude,Latitude,Google Maps Link
958,Indonesia,723,93990,110.4797449,-0.03731660291,"https://www.google.com/maps?q=-0.0373166029051179,110.479744886896"
959,Indonesia,17025,2213250,110.6407275,-0.1795362834,"https://www.google.com/maps?q=-0.179536283382665,110.640727486349"
960,Indonesia,114,14820,111.4363556,-0.03068051749,"https://www.google.com/maps?q=-0.0306805174891926,111.436355589516"
961,Indonesia,19400,2522000,112.0070319,-0.1084045556,"https://www.google.com/maps?q=-0.108404555575866,112.007031853543"
962,Indonesia,76,9880,111.4192924,-0.0358369846,"https://www.google.com/maps?q=-0.0358369845953572,111.419292449746"
963,Indonesia,6222,808860,111.4815175,-0.1078454528,"https://www.google.com/maps?q=-0.107845452791006,111.481517481809"
964,Indonesia,25,3250,109.1791647,-0.06187839743,"https://www.google.com/maps?q=-0.0618783974260035,109.179164723423"
965,Indonesia,189,24570,111.4876606,-0.07010109862,"https://www.google.com/maps?q=-0.0701010986216653,111.487660556449"
966,Indonesia,5031,654030,110.7626922,-0.09251180339,"https://www.google.com/maps?q=-0.0925118033856589,110.762692223529"
967,Indonesia,9324,1212120,110.2102618,-0.1391654155,"https://www.google.com/maps?q=-0.139165415458694,110.210261827948"
968,Indonesia,4603,598390,111.6960716,-0.1100311693,"https://www.google.com/maps?q=-0.110031169253015,111.696071604094"
969,Indonesia,603,78390,111.4704381,-0.1018807706,"https://www.google.com/maps?q=-0.101880770566011,111.470438131979"
970,Indonesia,44026,5723380,110.7890956,-0.2461915718,"https://www.google.com/maps?q=-0.246191571798328,110.789095626872"
971,Indonesia,1425,185250,112.0804756,-0.1374487296,"https://www.google.com/maps?q=-0.137448729582086,112.080475646054"
972,Indonesia,6933,901290,109.3290086,-0.1753735955,"https://www.google.com/maps?q=-0.175373595505562,109.329008608454"
973,Indonesia,144,18720,111.4808756,-0.1402342144,"https://www.google.com/maps?q=-0.140234214433576,111.480875629246"
974,Indonesia,327,42510,111.4616683,-0.1447919956,"https://www.google.com/maps?q=-0.144791995641453,111.461668310027"
975,Indonesia,896,116480,109.3823229,-0.1678271808,"https://www.google.com/maps?q=-0.167827180845659,109.382322894165"
976,Indonesia,19257,2503410,111.0212652,-0.2326557274,"https://www.google.com/maps?q=-0.232655727377495,111.021265219429"
977,Indonesia,10853,1410890,111.6320574,-0.2303136848,"https://www.google.com/maps?q=-0.230313684780568,111.632057359706"
978,Indonesia,80,10400,109.4793587,-0.1983490583,"https://www.google.com/maps?q=-0.198349058283602,109.479358676033"
979,Indonesia,5514,716820,111.6409589,-0.3879364835,"https://www.google.com/maps?q=-0.387936483472043,111.640958897149"
980,Indonesia,5449,708370,109.5666593,-0.3931941604,"https://www.google.com/maps?q=-0.393194160422961,109.566659284701"
981,Indonesia,7466,970580,111.7020088,-0.395325411,"https://www.google.com/maps?q=-0.395325411034012,111.702008822644"
982,Indonesia,15531,2019030,110.2111801,-0.3943815783,"https://www.google.com/maps?q=-0.39438157827825,110.211180084773"
983,Indonesia,22030,2863900,110.72539,-0.3944020681,"https://www.google.com/maps?q=-0.394402068133531,110.725390045782"
984,Indonesia,19702,2561260,110.3778868,-0.5569068475,"https://www.google.com/maps?q=-0.55690684750842,110.37788682693"
985,Indonesia,13666,1776580,110.7161818,-0.4871967916,"https://www.google.com/maps?q=-0.487196791623409,110.71618177433"
986,Indonesia,7181,933530,110.7343922,-0.5281001821,"https://www.google.com/maps?q=-0.528100182115388,110.734392178168"
987,Indonesia,4282,556660,111.7573647,-0.551511373,"https://www.google.com/maps?q=-0.551511373048556,111.757364674306"
988,Indonesia,12239,1591070,111.6002021,-0.726938899,"https://www.google.com/maps?q=-0.726938898966437,111.600202087369"
989,Indonesia,21296,2768480,110.0239947,-0.7252744727,"https://www.google.com/maps?q=-0.725274472656366,110.023994660368"
990,Indonesia,1001,130130,111.7025058,-0.6898609484,"https://www.google.com/maps?q=-0.689860948446772,111.702505763918"
991,Indonesia,15808,2055040,111.4420376,-0.8281294119,"https://www.google.com/maps?q=-0.82812941191515,111.442037575063"
992,Indonesia,35,4550,109.5692574,-0.7182802355,"https://www.google.com/maps?q=-0.718280235529074,109.569257370255"
993,Indonesia,1078,140140,111.5035211,-0.7530814267,"https://www.google.com/maps?q=-0.753081426717537,111.503521105946"
994,Indonesia,20496,2664480,110.0558715,-0.8441519002,"https://www.google.com/maps?q=-0.844151900244591,110.05587149615"
995,Indonesia,7509,976170,111.4724236,-0.8182815995,"https://www.google.com/maps?q=-0.818281599482546,111.472423601389"
996,Indonesia,23156,3010280,109.8921687,-0.8555353477,"https://www.google.com/maps?q=-0.855535347662494,109.892168741773"
997,Indonesia,15473,2011490,109.6271965,-0.8614192866,"https://www.google.com/maps?q=-0.86141928662409,109.627196528109"
998,Indonesia,19698,2560740,109.9766238,-0.9381482974,"https://www.google.com/maps?q=-0.938148297403397,109.976623810521"
999,Indonesia,11212,1457560,109.8290193,-0.9589737679,"https://www.google.com/maps?q=-0.958973767877318,109.829019311894"
1000,Indonesia,14936,1941680,110.3446906,-1.040275641,"https://www.google.com/maps?q=-1.04027564091745,110.344690602146"
1001,Indonesia,17089,2221570,110.6961141,-1.249018263,"https://www.google.com/maps?q=-1.24901826265201,110.696114124986"
1002,Indonesia,5357,696410,110.4807056,-1.244557089,"https://www.google.com/maps?q=-1.24455708930459,110.48070556487"
1003,Indonesia,2337,303810,110.495618,-1.24646244,"https://www.google.com/maps?q=-1.24646244033399,110.495617975229"
1004,Indonesia,16709,2172170,110.5565486,-1.31341221,"https://www.google.com/maps?q=-1.31341220975662,110.556548553467"
1005,Indonesia,14888,1935440,110.4155954,-1.341888296,"https://www.google.com/maps?q=-1.34188829602704,110.41559538774"
1006,Indonesia,18314,2380820,110.7184825,-1.348110938,"https://www.google.com/maps?q=-1.34811093834867,110.718482457316"
1007,Indonesia,369,47970,110.0865449,-1.37688085,"https://www.google.com/maps?q=-1.37688085000808,110.086544945515"
1008,Indonesia,17980,2337400,110.2813818,-1.545675995,"https://www.google.com/maps?q=-1.54567599458381,110.281381798547"
1009,Indonesia,7301,949130,110.3636764,-1.53245788,"https://www.google.com/maps?q=-1.53245788004632,110.363676446904"
1010,Indonesia,26876,3493880,110.1834019,-1.619064116,"https://www.google.com/maps?q=-1.61906411565853,110.183401912975"
1011,Indonesia,14578,1895140,110.6065471,-1.700327714,"https://www.google.com/maps?q=-1.70032771414112,110.606547069057"
1012,Indonesia,19817,2576210,110.294622,-1.757580158,"https://www.google.com/maps?q=-1.75758015784768,110.294622022649"
